"자전거번호","대여일시","대여 대여소번호","대여 대여소명","대여거치대","반납일시","반납대여소번호","반납대여소명","반납거치대","이용시간(분)","이용거리(M)","생년","성별","이용자종류","대여대여소ID","반납대여소ID","자전거구분"
"SPB-64783","2025-12-01 00:00:59","05084","강서우체국","0","2025-12-01 00:03:22","01166","강서구립등빛도서관","0","2","176.29","1981",\N,"내국인","ST-3100","ST-1351","일반자전거"
"SPB-64275","2025-12-01 00:01:52","05151","진넥스베르디엠 앞","0","2025-12-01 00:03:45","03516","구의아리수정수센터앞","0","1","270.00","1995","F","내국인","ST-3367","ST-1271","일반자전거"
"SPB-37686","2025-12-01 00:01:29","03651","개포동역 4번출구","0","2025-12-01 00:04:04","02431","대치역 7번출구","0","2","0.00","2002","M","내국인","ST-3049","ST-1897","일반자전거"
"SPB-69829","2025-12-01 00:00:35","04031","청암예술학교 앞","0","2025-12-01 00:04:19","02920","상계중학교(당현2교사거리)","0","3","633.73","1977",\N,"내국인","ST-2729","ST-2086","일반자전거"
"SPB-59846","2025-12-01 00:00:06","00230","영등포구청역 7번출구","0","2025-12-01 00:04:21",\N,\N,\N,"4","0.00","1997","M","내국인","ST-413",\N,"일반자전거"
"SPB-64066","2025-12-01 00:00:01","02335","3호선 매봉역 3번출구앞","0","2025-12-01 00:04:29","02414","도곡역 아카데미스위트 앞","0","4","600.00",\N,\N,\N,"ST-818","ST-1880","일반자전거"
"SPB-73510","2025-12-01 00:00:49","04134","제기동 현대아파트 앞","0","2025-12-01 00:04:40","00609","제기2교","0","3","851.17",\N,\N,"내국인","ST-3206","ST-269","일반자전거"
"SPB-47632","2025-12-01 00:00:34","02639","석촌역 8번출구","0","2025-12-01 00:04:50","04868","석촌호수 서호 남단","0","4","384.95","2000","M","내국인","ST-1866","ST-2833","일반자전거"
"SPB-61292","2025-12-01 00:03:06","04406","장곡초등학교 앞","0","2025-12-01 00:04:54","04425","하늘채코오롱아파트 앞","0","1","88.08","2001","F","내국인","ST-2731","ST-3264","일반자전거"
"SPB-60789","2025-12-01 00:00:25","03569","건대병원후문","0","2025-12-01 00:04:59","03575","자양사거리(서원빌딩)","0","4","968.40",\N,\N,\N,"ST-2308","ST-2314","일반자전거"
"SPB-59348","2025-12-01 00:01:46","00502","자양(뚝섬한강공원)역 1번출구 앞","0","2025-12-01 00:05:20","00501","광진문화예술회관 앞","0","3","667.00","2002",\N,"내국인","ST-99","ST-98","일반자전거"
"SPB-58752","2025-12-01 00:00:23","05064","양천향교역8번출구","0","2025-12-01 00:05:33","03783","마곡금호어울림아파트","0","5","686.25","1991",\N,"내국인","ST-2943","ST-2490","일반자전거"
"SPB-74352","2025-12-01 00:02:18","03570","구의역 리버비스타 오피스텔","0","2025-12-01 00:05:37","03575","자양사거리(서원빌딩)","0","3","649.34","2000","M","내국인","ST-2309","ST-2314","일반자전거"
"SPB-60884","2025-12-01 00:02:35","04140","신설동역 4번출구","0","2025-12-01 00:05:48","00612","시립동부병원 앞 사거리","0","3","438.41","1999",\N,"내국인","ST-3333","ST-271","일반자전거"
"SPB-41827","2025-12-01 00:00:09","00905","구파발역 2번출구","0","2025-12-01 00:05:55","00938","금암 문화공원","0","5","940.80","2005","M","내국인","ST-453","ST-1024","일반자전거"
"SPB-73147","2025-12-01 00:00:19","02375","수서역 1번출구 앞","0","2025-12-01 00:06:01","02659","서울친환경유통센터","0","5","1096.26","1991",\N,"내국인","ST-1184","ST-2410","일반자전거"
"SPB-55836","2025-12-01 00:03:25","04428","돈암동부센트레빌상가","0","2025-12-01 00:06:04","04418","종암동 동덕여대 제2생활관 앞","0","2","0.00",\N,\N,\N,"ST-3378","ST-3046","일반자전거"
"SPB-73412","2025-12-01 00:00:36","03812","KT관악지점","0","2025-12-01 00:06:04","02109","은천로입구 가로공원","0","5","1106.14",\N,\N,\N,"ST-2842","ST-882","일반자전거"
"SPB-65643","2025-12-01 00:01:22","04508","유원목동아파트 103동 앞","0","2025-12-01 00:06:11","00781","신정보도육교 아래","0","4","660.00","1974","M","내국인","ST-2760","ST-2007","일반자전거"
"SPB-44185","2025-12-01 00:00:19","02617","가락삼환아파트 앞","0","2025-12-01 00:06:18","02642","마천동 성내천 쉼터","0","5","1043.92","2003","M","내국인","ST-1717","ST-1794","일반자전거"
"SPB-71433","2025-12-01 00:03:15","04135","삼성생명 앞","0","2025-12-01 00:06:18","04136","롯데캐슬SKY-L65 D동 앞","0","3","318.13","1998","F","내국인","ST-3258","ST-3286","일반자전거"
"SPB-51922","2025-12-01 00:02:46","00341","혜화역 3번출구 뒤","0","2025-12-01 00:06:24","00359","원남동사거리","0","3","711.73","1998",\N,"내국인","ST-157","ST-174","일반자전거"
"SPB-38315","2025-12-01 00:01:17","00242","신길선원가와인아파트 앞","0","2025-12-01 00:06:25","03219","영등포역 1번출구","0","5","506.25","1968","M","내국인","ST-291","ST-1990","일반자전거"
"SPB-71162","2025-12-01 00:01:21","02658","가락몰 업무동","0","2025-12-01 00:06:28","04864","송파사거리","0","5","970.00",\N,"F","내국인","ST-2409","ST-2796","일반자전거"
"SPB-63445","2025-12-01 00:00:36","03698","명일역 3번출구 옆","0","2025-12-01 00:06:32","04956","암사역사공원역 1번출구","0","5","1059.04","2004","M","내국인","ST-3085","ST-3352","일반자전거"
"SPB-40241","2025-12-01 00:02:55","02728","마곡나루역 3번 출구","0","2025-12-01 00:06:34","02720","힐스테이트에코","0","3","695.93","1994","M","내국인","ST-2045","ST-2036","일반자전거"
"SPB-47571","2025-12-01 00:02:24","05082","가양역 7번출구","0","2025-12-01 00:06:36","01118","증미역 3번출구뒤(등촌두산위브센티움오피스텔)","0","4","593.16","2000",\N,"내국인","ST-3094","ST-516","일반자전거"
"SPB-58664","2025-12-01 00:03:35","03671","둔촌동역교차로","0","2025-12-01 00:06:41","01050","둔촌역 3번 출입구","0","3","222.48",\N,"F","내국인","ST-2742","ST-1420","일반자전거"
"SPB-64282","2025-12-01 00:02:45","01274","영파여고 앞","0","2025-12-01 00:06:51","01020","강동경찰서","0","4","793.19","1989",\N,"내국인","ST-1092","ST-503","일반자전거"
"SPB-53077","2025-12-01 00:03:47","03914","신도림쌍용플래티넘노블아파트 앞","0","2025-12-01 00:06:56","05851","도림천 건널목 위","0","3","230.15",\N,"F","내국인","ST-2892","ST-3040","일반자전거"
"SPB-60370","2025-12-01 00:01:30","04952","천호시장 버스정류소 옆","0","2025-12-01 00:06:58","04951","강동농협 버스정류소 앞(광채빌라)","0","5","887.34","2004",\N,"내국인","ST-3209","ST-3147","일반자전거"
"SPB-32686","2025-12-01 00:02:27","01208","풍납현대아파트쉼터","0","2025-12-01 00:07:19","02611","송파지역자활센터 뒤","0","4","833.63","1993","M","내국인","ST-541","ST-1684","일반자전거"
"SPB-73349","2025-12-01 00:00:48","01338","용문2교 옆","0","2025-12-01 00:07:31","01385","성신여대입구역 3번출구 앞","0","6","722.55","2002",\N,"내국인","ST-1202","ST-2226","일반자전거"
"SPB-61006","2025-12-01 00:03:36","02230","이수역 4번 출구","0","2025-12-01 00:07:41","02033","사당동 아르테스 웨딩앞","0","4","480.00",\N,\N,\N,"ST-760","ST-729","일반자전거"
"SPB-55234","2025-12-01 00:05:47","02704","홈플러스(강서점)","0","2025-12-01 00:07:51","02704","홈플러스(강서점)","0","2","130.00","1989","M","내국인","ST-2020","ST-2020","일반자전거"
"SPB-64959","2025-12-01 00:02:25","03569","건대병원후문","0","2025-12-01 00:07:54","00505","자양사거리 광진아크로텔 앞","0","5","824.12","2003","M","내국인","ST-2308","ST-102","일반자전거"
"SPB-30990","2025-12-01 00:02:24","01911","구로디지털단지역 앞","0","2025-12-01 00:07:55","02115","관악구시설관리공단","0","5","648.34","1988","M","내국인","ST-668","ST-883","일반자전거"
"SPB-56238","2025-12-01 00:01:32","04179","보라매병원역 1번출구","0","2025-12-01 00:07:58","02175","신림동걷고싶은문화의거리입구","0","6","967.99","1983","M","내국인","ST-3105","ST-1270","일반자전거"
"SPB-55315","2025-12-01 00:02:14","01958","강서수도사업소민원센터","0","2025-12-01 00:07:59","01912","한신휴아파트 앞","0","5","950.00",\N,\N,\N,"ST-1220","ST-669","일반자전거"
"SPB-74744","2025-12-01 00:04:25","03776","김포공항사거리","0","2025-12-01 00:08:02","05053","신마곡벽산블루밍메트로오피스텔앞","0","3","540.55","2000",\N,"내국인","ST-2484","ST-2883","일반자전거"
"SPB-57778","2025-12-01 00:06:38","01051","강일중,선사고 버스정류장(신암중학교 방면)","0","2025-12-01 00:08:09","01032","선사고등학교","0","1","290.00","1997","M","내국인","ST-1421","ST-1049","일반자전거"
"SPB-50419","2025-12-01 00:05:39","00575","대원중고교 입구(대하빌딩)","0","2025-12-01 00:08:21","03510","중곡SK아파트앞","0","2","460.00",\N,\N,"내국인","ST-386","ST-1427","일반자전거"
"SPB-73042","2025-12-01 00:00:59","02903","월계초안아파트 1단지","0","2025-12-01 00:08:26","04011","월계 센트럴 아이파크","0","7","1781.08","1989","M","내국인","ST-2069","ST-2705","일반자전거"
"SPB-63112","2025-12-01 00:02:56","02711","가로공원공영주차장 1번 출구","0","2025-12-01 00:08:28","06171","월드빌딩 앞","0","6","473.71",\N,\N,\N,"ST-2027","ST-3276","일반자전거"
"SPB-67777","2025-12-01 00:04:23","01158","가양역 8번출구","0","2025-12-01 00:08:35","02709","강변아파트 310동 앞","0","4","440.00","1977","M","내국인","ST-1249","ST-2025","일반자전거"
"SPB-67034","2025-12-01 00:01:59","05864","장훈고 앞","0","2025-12-01 00:08:35","05860","어울림병원 앞","0","6","703.36",\N,\N,\N,"ST-3200","ST-3171","일반자전거"
"SPB-60145","2025-12-01 00:01:44","04452","삼성SDS","0","2025-12-01 00:08:35","02608","송파구청","0","6","1020.00","2006","F","내국인","ST-2571","ST-1681","일반자전거"
"SPB-57300","2025-12-01 00:03:32","03581","광진광장","0","2025-12-01 00:08:37","00540","군자역 7번출구 베스트샵 앞","0","5","842.74","1999","M","내국인","ST-2320","ST-253","일반자전거"
"SPB-53756","2025-12-01 00:05:31","02184","구암초등학교 버스정류장","0","2025-12-01 00:08:37","02187","현대시장사거리","0","3","370.00","1995","M","내국인","ST-1702","ST-2371","일반자전거"
"SPB-57451","2025-12-01 00:04:03","01232","잠실주공 521동 건너편","0","2025-12-01 00:08:39","02635","잠실새내역 1번출구","0","4","705.62",\N,\N,\N,"ST-550","ST-1862","일반자전거"
"SPB-63945","2025-12-01 00:04:30","05301","상계주공1단지 버스정류장 옆(대원빌딩 앞)","0","2025-12-01 00:08:41","04026","상계주공1단지아파트","0","4","495.53",\N,\N,\N,"ST-3015","ST-2716","일반자전거"
"SPB-56161","2025-12-01 00:00:30","03698","명일역 3번출구 옆","0","2025-12-01 00:08:41","01051","강일중,선사고 버스정류장(신암중학교 방면)","0","8","1114.98",\N,\N,\N,"ST-3085","ST-1421","일반자전거"
"SPB-54813","2025-12-01 00:03:15","00419","홈플러스 마포점 앞","0","2025-12-01 00:08:42","00438","성산2-1 공영주차장","0","5","766.68","1992","M","내국인","ST-87","ST-1692","일반자전거"
"SPB-44635","2025-12-01 00:03:43","02701","마곡나루역 5번출구 뒤편","0","2025-12-01 00:08:42","01163","방화동강서기동대앞","0","4","1053.37","2001","F","내국인","ST-1718","ST-1254","일반자전거"
"SPB-55415","2025-12-01 00:06:19","00639","서울시립대 후문","0","2025-12-01 00:08:43","00670","삼육서울병원 버스정류장","0","2","453.42",\N,\N,\N,"ST-406","ST-2270","일반자전거"
"SPB-63970","2025-12-01 00:04:04","01461","동양엔파트 앞","0","2025-12-01 00:08:58","01442","중랑구청 중화동 별관 앞","0","4","929.13","1993","M","내국인","ST-2282","ST-1093","일반자전거"
"SPB-71354","2025-12-01 00:00:09","01931","개봉역2번출구 A","0","2025-12-01 00:09:01","00760","잣절보도육교 아래","0","8","1932.17","1997",\N,"내국인","ST-920","ST-1501","일반자전거"
"SPB-58325","2025-12-01 00:02:17","03009","홍대입구역 사거리","0","2025-12-01 00:09:09","00104","합정역 1번출구 앞","0","6","617.18",\N,\N,\N,"ST-2167","ST-6","일반자전거"
"SPB-50415","2025-12-01 00:05:37","01197","엠펠리체 호텔 건너편","0","2025-12-01 00:09:10","02721","등촌1-10단지 교차로","0","3","461.51","1993","F","내국인","ST-1714","ST-2037","일반자전거"
"SPB-57123","2025-12-01 00:06:10","02173","당곡사거리","0","2025-12-01 00:09:12","04179","보라매병원역 1번출구","0","3","364.34","1991","M","내국인","ST-1268","ST-3105","일반자전거"
"SPB-65534","2025-12-01 00:04:19","01991","오류동역 맞은편","0","2025-12-01 00:09:15","01967","참새공원(백곡경노당)","0","4","1120.31","1999",\N,"내국인","ST-1526","ST-1229","일반자전거"
